
Title,Body
Spejderloven (DDS) – ordlyd,Write a page containing the official DDS Spejderloven text. Provide the exact wording for all points of the law and prepare to link it when referenced by other pages. Purpose: establish a common values foundation for all sea scouts.
Spejderloven – praktisk på vandet,"Write a page that explains how each point of the Spejderloven is applied in practice on the water. For each law point, describe behaviors and good seamanship examples, plus reflection questions for patrols. Purpose: translate values into everyday sea scout behavior."
Spejdermetoden – 7 elementer,"Write a page explaining the seven elements of the Spejdermetoden (scout method) and link each to specific sea-scout activities (patrol system, learning-by-doing, friluftsliv, personal development, etc.). Purpose: help scouts understand why training is structured as it is."
Patruljeroller – Optimist/jolle,"Create a page describing patrol roles for Optimist/jolle sailing: helm, crew, equipment manager, safety lead, etc., and how to rotate roles. Purpose: build self-sufficient patrols and clarify responsibilities."
Patruljeroller – J/70,"Create a page describing roles on the J/70 (helm, trimmer, tactician, bow) with responsibilities and standard commands. Purpose: teach teamwork and safety on larger keelboats."
Buddy-system & kommunikation,"Write a page about the buddy system and communication within the patrol. Explain check-ins, hand signals and call words. Purpose: prevent accidents and reinforce group cohesion."
Briefing & debrief skabelon,"Provide a template for briefing and debriefing before/after sailing: goals, area, weather, safety, focus exercise, roles, reflection questions. Purpose: ensure consistent, scout-led routines for each session."
Mærke landing pages,"Create landing pages for common badges: Småbådssejler, Gast, Kaptajn, Sømil, Svømmer, Bål, Bålkok, Kniv, Førstehjælp, Klar dig selv. For each, list requirements in plain language, recommended training, and link to relevant wiki pages. Purpose: connect badge goals to training resources."
Personligt udstyr,"Write a page about personal safety equipment: types of life jackets and proper fit, clothing layers for temperature and wind, personal kit (knife, whistle, sunscreen, water, snacks). Purpose: minimize risk and teach self-preparation."
Tur-start tjeklister,"Create checklists for trip preparation for each boat type (Optimist, Jolle, J/70) including equipment, weather limits, area selection, crew and communication checks. Purpose: standardize pre-sail routines and avoid critical oversights."
MOB procedure – Optimist/Jolle,"Write a page describing the step-by-step man overboard procedure for Optimist and small dinghies: stop, turn back, approach from leeward, throw line, calmly rescue. Purpose: teach safe responses in an emergency on small boats."
MOB procedure – J/70,"Write a page describing the man overboard procedure for the J/70/keelboats: shout/point, press MOB button, sail upwind, approach under control, rescue with hypothermia focus. Purpose: ensure safe, coordinated recovery on larger boats."
Hypotermi & førstehjælp light,"Write a page covering the signs of cold shock and hypothermia, actions to take, when to stop sailing, and basic first aid for minor injuries (cuts, rope burns, booms). Purpose: teach scouts to recognize and respond to cold and injuries."
Nødprocedure & nødsignaler,"Write a page with clear 'if-then' emergency scenarios: capsize far from shore, injury, fog, missing boat. Explain who to contact and which signals to use. Purpose: give scouts a clear action plan for emergencies."
Vind & sejlpunkter,"Write a page introducing wind directions relative to the boat: no-sail zone, close-hauled, beam reach, broad reach, run. Include diagrams and simple exercises. Purpose: provide common language for sailing and understanding maneuvers."
Sejl som vinge & fart vs højde,Write a page explaining how sails generate lift and drag (wing principle) and the trade-off between speed (fart) and pointing high (højde). Purpose: give intuitive understanding of why sail trim matters.
Balance & kropsposition,"Write a page teaching weight placement for control: fore/aft and windward/leeward positions, hiking, stability. Purpose: show that body position is essential to steering and balance, often more than the rudder."
Rorbrug & fartkontrol,"Write a page about proper rudder use: small corrections vs major turns, rudder as brake, and techniques for stopping and controlling speed. Purpose: avoid oversteering and develop boat handling finesse."
Strøm & afdrift (light),Write a page explaining drift caused by wind and current. Teach simple rules to anticipate and compensate for leeway and current. Purpose: help scouts understand why they don’t stay on a straight line and adjust course.
Bølger & timing,"Write a page on sailing in waves: how to time tacks and jibes in choppy water, how waves affect boat speed and handling. Purpose: improve control and safety when conditions are rough."
Optimist rigging guide,"Write a step-by-step rigging guide for the Optimist with photos or diagrams, including a checklist for 8–12 year olds. Purpose: enable scouts to prepare their boat independently and safely."
Optimist trim guide,"Create a page detailing how to trim the Optimist sail for different wind ranges (0–3, 4–7, 8–12, 13+ m/s). Purpose: provide quick reference for improving speed and control in varying conditions."
Optimist manøvrer,"Write a page covering key Optimist maneuvers: tacking, gybing, stopping, starting, and mark roundings. Include step-by-step instructions and common mistakes. Purpose: teach fundamental maneuvers for dinghy sailors."
Optimist fejl-bibliotek,"Create a troubleshooting page listing common Optimist problems (e.g., boat stops during tacks, sail flutters) with causes and fixes. Purpose: help scouts diagnose and correct mistakes quickly."
Optimist vedligehold & opbevaring,"Write a page about caring for the Optimist: cleaning the hull, checking sails and lines, winter storage. Purpose: extend equipment life and ensure readiness for each season."
J/70 roller & kommandoer,"Create a page explaining crew roles on the J/70 (helm, trimmer, tactician, bow) and standard commands. Purpose: improve teamwork and safety on bigger boats."
J/70 rigging guide,"Write a step-by-step rigging guide for the J/70 including mast, shrouds, sails and safety checks. Purpose: help crews set up the boat correctly and efficiently."
"J/70 trim – storsejl, fok & gennaker","Write a page providing baseline trim advice for the J/70: how to set the main, jib and gennaker for various wind conditions, including control lines (vang, cunningham, barber haulers). Purpose: improve speed and handling."
J/70 manøvrer med gennaker,"Create a page detailing gennaker maneuvers: hoisting, dropping, gybing, and mark roundings. Provide flow diagrams and roles. Purpose: teach safe and efficient spinnaker handling."
J/70 sikkerhed ombord,"Write a page about safety practices on the J/70: line discipline, cockpit organization, winch use, avoiding collisions. Purpose: prevent injuries and boat damage."
J/70 kapsejlads intro,"Write a page introducing J/70 racing: start procedures, laylines, mark rounding rules and fair play. Purpose: prepare 12–16 year olds for regatta participation."
